/home/dvspanos/miniconda3/envs/rded/lib/python3.10/site-packages/torch/cuda/__init__.py:611: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
=> using pytorch pre-trained teacher model 'conv3'
process data from /home/dvspanos/nikos/ca2d/artifacts/rded_sets/bench_cifar100_conv_el2nw0_ipc10
load data successfully
TRAIN Iter 0: loss = 0.020495,	Top-1 err = 97.800000,	Top-5 err = 90.800000,	train_time = 1.115649
TRAIN Iter 1: loss = 0.018483,	Top-1 err = 97.900000,	Top-5 err = 89.800000,	train_time = 0.390589
TRAIN Iter 2: loss = 0.016756,	Top-1 err = 97.900000,	Top-5 err = 88.400000,	train_time = 0.385135
TRAIN Iter 3: loss = 0.016154,	Top-1 err = 97.500000,	Top-5 err = 88.100000,	train_time = 0.356984
TRAIN Iter 4: loss = 0.015569,	Top-1 err = 97.400000,	Top-5 err = 87.700000,	train_time = 0.371987
TRAIN Iter 5: loss = 0.015322,	Top-1 err = 97.400000,	Top-5 err = 86.100000,	train_time = 0.419739
TRAIN Iter 6: loss = 0.014619,	Top-1 err = 97.200000,	Top-5 err = 87.000000,	train_time = 0.394002
TRAIN Iter 7: loss = 0.013830,	Top-1 err = 97.100000,	Top-5 err = 86.100000,	train_time = 0.371223
TRAIN Iter 8: loss = 0.013345,	Top-1 err = 96.400000,	Top-5 err = 84.300000,	train_time = 0.401463
TRAIN Iter 9: loss = 0.013121,	Top-1 err = 96.800000,	Top-5 err = 84.700000,	train_time = 0.381867
TRAIN Iter 10: loss = 0.012549,	Top-1 err = 96.800000,	Top-5 err = 83.300000,	train_time = 0.397838
TRAIN Iter 11: loss = 0.012540,	Top-1 err = 96.500000,	Top-5 err = 83.000000,	train_time = 0.391544
TRAIN Iter 12: loss = 0.011710,	Top-1 err = 96.100000,	Top-5 err = 80.400000,	train_time = 0.394235
TRAIN Iter 13: loss = 0.011866,	Top-1 err = 96.100000,	Top-5 err = 82.900000,	train_time = 0.393818
TRAIN Iter 14: loss = 0.011192,	Top-1 err = 96.500000,	Top-5 err = 83.100000,	train_time = 0.389171
TRAIN Iter 15: loss = 0.011154,	Top-1 err = 95.000000,	Top-5 err = 79.100000,	train_time = 0.366990
TRAIN Iter 16: loss = 0.010790,	Top-1 err = 95.900000,	Top-5 err = 81.600000,	train_time = 0.402570
TRAIN Iter 17: loss = 0.010464,	Top-1 err = 95.900000,	Top-5 err = 81.700000,	train_time = 0.408177
TRAIN Iter 18: loss = 0.010313,	Top-1 err = 96.200000,	Top-5 err = 80.600000,	train_time = 0.375337
TRAIN Iter 19: loss = 0.010450,	Top-1 err = 96.000000,	Top-5 err = 81.700000,	train_time = 0.378371
TRAIN Iter 20: loss = 0.009652,	Top-1 err = 96.300000,	Top-5 err = 77.900000,	train_time = 0.404359
TRAIN Iter 21: loss = 0.009301,	Top-1 err = 95.500000,	Top-5 err = 78.100000,	train_time = 0.382307
TRAIN Iter 22: loss = 0.009157,	Top-1 err = 95.300000,	Top-5 err = 81.200000,	train_time = 0.408159
TRAIN Iter 23: loss = 0.009338,	Top-1 err = 95.000000,	Top-5 err = 76.800000,	train_time = 0.399430
TRAIN Iter 24: loss = 0.009129,	Top-1 err = 95.100000,	Top-5 err = 81.000000,	train_time = 0.395074
TRAIN Iter 25: loss = 0.009143,	Top-1 err = 95.700000,	Top-5 err = 79.200000,	train_time = 0.380705
