=> using pytorch pre-trained teacher model 'conv4'
process data from /home/dvspanos/nikos/ca2d/artifacts/rded_sets/bench_tin_conv_el2nw10_ipc10
load data successfully
TRAIN Iter 0: loss = 0.014613,	Top-1 err = 99.650000,	Top-5 err = 96.950000,	train_time = 3.734612
TRAIN Iter 1: loss = 0.012053,	Top-1 err = 99.500000,	Top-5 err = 96.500000,	train_time = 2.272479
TRAIN Iter 2: loss = 0.012098,	Top-1 err = 99.350000,	Top-5 err = 96.350000,	train_time = 2.258657
TRAIN Iter 3: loss = 0.010496,	Top-1 err = 99.400000,	Top-5 err = 96.250000,	train_time = 2.262127
TRAIN Iter 4: loss = 0.010510,	Top-1 err = 98.850000,	Top-5 err = 95.300000,	train_time = 2.247099
TRAIN Iter 5: loss = 0.009815,	Top-1 err = 99.050000,	Top-5 err = 94.800000,	train_time = 2.286660
TRAIN Iter 6: loss = 0.009676,	Top-1 err = 98.950000,	Top-5 err = 94.600000,	train_time = 2.258225
TRAIN Iter 7: loss = 0.008964,	Top-1 err = 98.950000,	Top-5 err = 93.800000,	train_time = 2.172313
TRAIN Iter 8: loss = 0.008892,	Top-1 err = 98.600000,	Top-5 err = 94.300000,	train_time = 2.313835
TRAIN Iter 9: loss = 0.008749,	Top-1 err = 98.500000,	Top-5 err = 92.850000,	train_time = 2.290036
TRAIN Iter 10: loss = 0.008361,	Top-1 err = 98.850000,	Top-5 err = 93.150000,	train_time = 2.234686
TRAIN Iter 11: loss = 0.008387,	Top-1 err = 98.300000,	Top-5 err = 92.650000,	train_time = 2.313156
TRAIN Iter 12: loss = 0.008187,	Top-1 err = 98.000000,	Top-5 err = 91.300000,	train_time = 2.330581
TRAIN Iter 13: loss = 0.007641,	Top-1 err = 98.950000,	Top-5 err = 94.050000,	train_time = 2.303598
TRAIN Iter 14: loss = 0.007735,	Top-1 err = 98.400000,	Top-5 err = 93.150000,	train_time = 2.335289
TRAIN Iter 15: loss = 0.007337,	Top-1 err = 98.900000,	Top-5 err = 93.000000,	train_time = 2.316329
TRAIN Iter 16: loss = 0.007275,	Top-1 err = 98.200000,	Top-5 err = 91.950000,	train_time = 2.336479
TRAIN Iter 17: loss = 0.007249,	Top-1 err = 98.150000,	Top-5 err = 92.300000,	train_time = 2.266950
TRAIN Iter 18: loss = 0.007182,	Top-1 err = 98.350000,	Top-5 err = 91.500000,	train_time = 2.256938
TRAIN Iter 19: loss = 0.006736,	Top-1 err = 97.900000,	Top-5 err = 91.400000,	train_time = 2.280812
TRAIN Iter 20: loss = 0.006808,	Top-1 err = 98.550000,	Top-5 err = 91.100000,	train_time = 2.316159
TRAIN Iter 21: loss = 0.006665,	Top-1 err = 97.250000,	Top-5 err = 90.200000,	train_time = 2.317917
TRAIN Iter 22: loss = 0.006600,	Top-1 err = 97.850000,	Top-5 err = 91.250000,	train_time = 2.313823
TRAIN Iter 23: loss = 0.006489,	Top-1 err = 98.050000,	Top-5 err = 90.650000,	train_time = 2.355589
TRAIN Iter 24: loss = 0.006343,	Top-1 err = 98.400000,	Top-5 err = 90.450000,	train_time = 2.359062
TRAIN Iter 25: loss = 0.006487,	Top-1 err = 97.700000,	Top-5 err = 89.950000,	train_time = 2.331145
TRAIN Iter 26: loss = 0.006231,	Top-1 err = 97.450000,	Top-5 err = 89.000000,	train_time = 2.355745
